img_id,glcm_contrast_mean,glcm_contrast_std,glcm_contrast_min,glcm_contrast_max,glcm_contrast_dist_1,glcm_contrast_dist_2,glcm_contrast_dist_3,glcm_dissimilarity_mean,glcm_dissimilarity_std,glcm_dissimilarity_min,glcm_dissimilarity_max,glcm_dissimilarity_dist_1,glcm_dissimilarity_dist_2,glcm_dissimilarity_dist_3,glcm_homogeneity_mean,glcm_homogeneity_std,glcm_homogeneity_min,glcm_homogeneity_max,glcm_homogeneity_dist_1,glcm_homogeneity_dist_2,glcm_homogeneity_dist_3,glcm_energy_mean,glcm_energy_std,glcm_energy_min,glcm_energy_max,glcm_energy_dist_1,glcm_energy_dist_2,glcm_energy_dist_3,glcm_correlation_mean,glcm_correlation_std,glcm_correlation_min,glcm_correlation_max,glcm_correlation_dist_1,glcm_correlation_dist_2,glcm_correlation_dist_3,glcm_ASM_mean,glcm_ASM_std,glcm_ASM_min,glcm_ASM_max,glcm_ASM_dist_1,glcm_ASM_dist_2,glcm_ASM_dist_3,lbp_hist_0,lbp_hist_1,lbp_hist_2,lbp_hist_3,lbp_hist_4,lbp_hist_5,lbp_hist_6,lbp_hist_7,lbp_hist_8,lbp_hist_9,lbp_hist_10,lbp_hist_11,lbp_hist_12,lbp_hist_13,lbp_hist_14,lbp_hist_15,lbp_hist_16,lbp_hist_17,lbp_hist_18,lbp_hist_19,lbp_hist_20,lbp_hist_21,lbp_hist_22,lbp_hist_23,lbp_hist_24,lbp_hist_25,lbp_mean,lbp_std,lbp_uniformity,lbp_entropy,gabor_f0.1_o0_mean,gabor_f0.1_o0_std,gabor_f0.1_o0_energy,gabor_f0.1_o45_mean,gabor_f0.1_o45_std,gabor_f0.1_o45_energy,gabor_f0.1_o90_mean,gabor_f0.1_o90_std,gabor_f0.1_o90_energy,gabor_f0.1_o135_mean,gabor_f0.1_o135_std,gabor_f0.1_o135_energy,gabor_f0.3_o0_mean,gabor_f0.3_o0_std,gabor_f0.3_o0_energy,gabor_f0.3_o45_mean,gabor_f0.3_o45_std,gabor_f0.3_o45_energy,gabor_f0.3_o90_mean,gabor_f0.3_o90_std,gabor_f0.3_o90_energy,gabor_f0.3_o135_mean,gabor_f0.3_o135_std,gabor_f0.3_o135_energy,gabor_f0.5_o0_mean,gabor_f0.5_o0_std,gabor_f0.5_o0_energy,gabor_f0.5_o45_mean,gabor_f0.5_o45_std,gabor_f0.5_o45_energy,gabor_f0.5_o90_mean,gabor_f0.5_o90_std,gabor_f0.5_o90_energy,gabor_f0.5_o135_mean,gabor_f0.5_o135_std,gabor_f0.5_o135_energy,edge_density_canny,edge_count_canny,sobel_mean,sobel_std,sobel_max,num_regions,total_area,mean_area,std_area,max_area,mean_perimeter,std_perimeter,mean_compactness,std_compactness,mean_eccentricity,std_eccentricity,mean_solidity,std_solidity,largest_region_area,largest_region_eccentricity,largest_region_solidity,num_circles_detected,strongest_circle_accumulator,mean_circle_radius,std_circle_radius,mean_intensity,std_intensity,median_intensity,min_intensity,max_intensity,range_intensity,percentile_5,percentile_10,percentile_25,percentile_75,percentile_90,percentile_95,iqr,skewness,kurtosis,entropy,energy,rms,local_variance_mean,local_variance_std,local_variance_max
data\CMMD\D1-0002\07-18-2010-NA-NA-49231\1.000000-NA-45313\1-1.dcm,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006357621173456717,0.0029097576530554255,0.003148915816320255,0.00302933673468784,0.0030891262755040473,0.0023915816326482947,0.002252072704077144,0.002830038265300482,0.002869897959177954,0.0036471619897886494,0.0038265306122372716,0.005161830357132569,0.009267378826512143,0.011240433673446985,0.004264987244889459,0.002471301020403238,0.0020328443877510507,0.0018534757653024285,0.0019132653061186358,0.0019331951530573716,0.001813616071424957,0.002172353316322201,0.0021125637755059937,0.002172353316322201,0.8736846301002995,0.041553730867264126,22.90168606505102,4.176042850819244,0.765479377384463,1.0311614696349216,0.0008650214,0.003047751,0.46616924,0.0011155895,0.0040654214,0.82932675,0.0013469245,0.005436329,1.4829803,0.0011348353,0.0037172344,0.6933588,0.0004300612,0.001670432,0.14029488,0.0005663621,0.0025402182,0.323904,0.0005763856,0.0025173437,0.31825292,0.0005049246,0.0018975727,0.18080567,0.00042668427,0.0015956649,0.12935221,0.00028811273,0.0012455416,0.07827477,0.0005466991,0.0022913872,0.26504365,0.0002700858,0.0010050678,0.051118895,0.03262515943877551,1637,0.013153375,0.04803415,0.938625,2,5505.0,2752.5,2751.5,5504.0,545.5523445727472,0.0,0.23238892992232357,0.0,0.45065879763491545,0.45065879763491545,0.9686648501362398,0.03133514986376024,5504.0,0.9013175952698309,0.9373297002724795,0,0,0,0,0.04525763,0.1308836,0.0,0.0,0.981334,0.981334,0.0,0.0,0.0,0.0,0.24760297,0.3958525,0.0,2.9476385,11.138715,1.4247026290350395,962.3141,0.13848744,0,0,0
data\CMMD\D1-0002\07-18-2010-NA-NA-49231\1.000000-NA-45313\1-2.dcm,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.011559311224466759,0.004444355867338081,0.005361128826519928,0.005480707908152342,0.005879304846927058,0.004882812499990268,0.004962531887745212,0.004583864795909232,0.0056800063775397005,0.005759725765294643,0.007214604591822356,0.009964923469367896,0.016621492346905648,0.014369419642828505,0.0071747448979448845,0.00544084821427487,0.004464285714276817,0.004424426020399346,0.0037866709183598,0.004205197704073252,0.0046835140306029106,0.004085618622440837,0.004225127551011987,0.00302933673468784,0.7703483737229545,0.07736766581617234,22.048110650510203,5.41753139928568,0.6006563743494282,1.662477017047153,0.0015534976,0.0038835122,0.75695014,0.0018159862,0.00486612,1.1881927,0.0015986507,0.0046963235,1.1068668,0.0013775053,0.003929098,0.77469707,0.000773966,0.002289469,0.2636453,0.0007091776,0.0020251605,0.20608085,0.0006184384,0.0018936743,0.18057066,0.0006215082,0.0018530377,0.17258936,0.0007966551,0.0023191944,0.2734421,0.00040392418,0.0011398563,0.066156745,0.00070350664,0.0021172639,0.22849157,0.00035885526,0.0010317237,0.054377735,0.04633689413265306,2325,0.017268188,0.041562468,0.46687296,8,7641.0,955.125,2412.3893465556093,7335.0,136.72749940523926,288.01688431072074,8.972735836940593,17.03336668564955,0.7778802406547665,0.300172689558473,0.8914761505364124,0.10123177793947172,7335.0,0.9301203746485871,0.7200353391577501,0,0,0,0,0.06759853,0.14679922,0.0,0.0,0.8177176,0.8177176,0.0,0.0,0.0,0.0,0.30618304,0.4425278,0.0,2.2376328,7.0904555,2.4428316790131293,1310.5758,0.16161552,0,0,0
data\CMMD\D1-0003\07-18-2011-NA-NA-25491\1.000000-NA-24283\1-1.dcm,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.012336575255077455,0.005480707908152342,0.005939094387743265,0.004803093112235326,0.003706951530604857,0.0033681441326463483,0.003427933673462556,0.003427933673462556,0.0037268813775435928,0.003985969387747158,0.0046237244897867034,0.006178252551008095,0.012894610969362057,0.01690051020404795,0.006556919642844075,0.004962531887745212,0.004005899234685893,0.0034677933673400276,0.003148915816320255,0.00340800382652382,0.003627232142849914,0.0034877232142787634,0.0038464604591760074,0.003906249999992215,0.7788185586719172,0.08996332908145335,22.334024234693878,5.158164366770097,0.6156547304865309,1.5508445007659497,0.0010266553,0.0030132178,0.45571512,0.0015183478,0.004413436,0.97740215,0.0014649392,0.004516383,1.0236189,0.0012528448,0.0036559568,0.6707066,0.00046724072,0.0014204717,0.10167279,0.00071904785,0.0023846254,0.2855224,0.0008004123,0.0026083472,0.34180185,0.00061995024,0.0019231861,0.18578285,0.0005258093,0.0015991371,0.13071151,0.00037026347,0.0011870482,0.07135289,0.0008093952,0.002524076,0.32206878,0.00036104542,0.0010980507,0.061148703,0.037587691326530615,1886,0.01485162,0.041748453,0.7532617,3,10204.0,3401.3333333333335,4803.141772724274,10194.0,429.49904371384815,421.8777233702885,1.0619233850691465,0.8851931301534184,0.5009505031956153,0.37061094848927917,0.9234823715907322,0.07696668278577334,10194.0,0.8848991893084215,0.9522652965903783,0,0,0,0,0.055479087,0.11966669,0.0,0.0,0.90076387,0.90076387,0.0,0.0,0.0,0.0,0.22299704,0.33745196,0.0,2.3402183,8.230027,2.25055248332134,872.96436,0.13190165,0,0,0
data\CMMD\D1-0003\07-18-2011-NA-NA-25491\1.000000-NA-24283\1-2.dcm,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02002949617342947,0.009307238520389614,0.010463169642836289,0.008490114795901447,0.007055165816312469,0.007393973214270978,0.006238042091824303,0.006716358418353961,0.006238042091824303,0.006955516581618791,0.00719467474488362,0.009805484693858009,0.01751833545914876,0.017817283163229797,0.00856983418365639,0.006716358418353961,0.006357621173456717,0.0056202168367234925,0.00530133928570372,0.005699936224478436,0.005580357142846021,0.007354113520393507,0.008011798469371787,0.007772640306106958,0.6282286352028296,0.16356425382620463,21.348871970663264,6.432498174716289,0.42360284575548096,2.248919594900286,0.0017275695,0.0038792577,0.7554911,0.001561133,0.0043080267,0.93138653,0.0016185646,0.004136656,0.85901815,0.0018369006,0.004938891,1.2240655,0.0008521369,0.0021108761,0.22481008,0.0007646409,0.0019632494,0.1939665,0.0010716504,0.0026239413,0.3467011,0.0009768133,0.0024053063,0.29086834,0.00096164393,0.0022446953,0.25970563,0.00048957113,0.0011529751,0.06856764,0.001196145,0.002793731,0.39850634,0.0005989221,0.0013923127,0.09913672,0.0486686862244898,2442,0.019964209,0.041388534,0.59014416,52,10753.0,206.78846153846155,1433.8259514660883,10446.0,110.04390538196097,390.662190971731,6.88778911345927,18.09402694263015,0.5465397856412857,0.4586961373886943,0.9315454058380693,0.1399001560927808,10446.0,0.932578039285518,0.660637490513534,0,0,0,0,0.09398425,0.14564802,0.0,0.0,0.9732156,0.9732156,0.0,0.0,0.0,0.1615283,0.31246394,0.43127218,0.1615283,1.59219,4.8864055,3.5643739943902735,1507.6073,0.17333892,0,0,0
data\CMMD\D1-0001\07-18-2010-NA-NA-79377\1.000000-NA-70244\1-1.dcm,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0035475127550949706,0.0015545280612213916,0.0019132653061186358,0.0017737563775474853,0.0015545280612213916,0.002012914540812315,0.0017936862244862211,0.0020527742346897865,0.00227200255101588,0.0029695471938716326,0.0038663903061147433,0.0046237244897867034,0.009147799744879727,0.00932716836732835,0.0034877232142787634,0.002291932397954616,0.0019531249999961075,0.001534598214282656,0.0013153698979565622,0.0008968431122431106,0.001036352040814261,0.0009566326530593179,0.0009167729591818463,0.000856983418365639,0.9114716198961427,0.024872448979542265,23.176658163265305,3.5373432114218923,0.8316855321340209,0.775133024235465,0.0006682149,0.0026648296,0.35634342,0.0007128462,0.002947387,0.43589374,0.0007023045,0.003190535,0.51079494,0.0006805864,0.0030675395,0.47215635,0.0002069589,0.0009611291,0.046434604,0.0002496199,0.0013527547,0.09185806,0.00024340127,0.001305659,0.08562086,0.00027095064,0.0016110764,0.13027391,0.00022328837,0.0010427707,0.05502549,0.00013515554,0.0007077987,0.02526338,0.00026389476,0.0012956521,0.08469675,0.00014021098,0.00075905997,0.029036265,0.01717952806122449,862,0.0070562703,0.031535868,0.6603037,4,3673.0,918.25,1580.6510328026234,3656.0,220.16652224137047,206.71677477306463,0.1607909664339075,0.09132347698677225,0.43492278910495097,0.4361123567680956,0.9137265917602997,0.08637354369368029,3656.0,0.9153682152818696,0.8215730337078652,0,0,0,0,0.024437958,0.08933881,0.0,0.0,0.75300604,0.75300604,0.0,0.0,0.0,0.0,0.0,0.24507472,0.0,3.9700692,19.022783,1.0041525656239911,430.4417,0.09262093,0,0,0
data\CMMD\D1-0001\07-18-2010-NA-NA-79377\1.000000-NA-70244\1-2.dcm,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.010004783163245367,0.004444355867338081,0.004703443877541647,0.004245057397950724,0.0031887755101977265,0.0026905293367293316,0.003328284438768877,0.003328284438768877,0.0039660395408084225,0.004185267857134516,0.005102040816316362,0.007712850765290751,0.014588647959154597,0.014508928571399656,0.006198182397946831,0.004424426020399346,0.0035475127550949706,0.003427933673462556,0.0029097576530554255,0.002770248724484275,0.0027303890306068033,0.002869897959177954,0.003109056122442783,0.0028898278061166897,0.8095105229575703,0.06961495535700411,22.456552933673468,4.897513273922179,0.6610273625714106,1.4077270475987302,0.0010709135,0.002958477,0.43925482,0.0006450677,0.0021606758,0.23428535,0.0007554162,0.0026271685,0.34640056,0.0009113632,0.002939546,0.43359345,0.0004067072,0.0012907645,0.083853126,0.0002982521,0.0009801858,0.048326768,0.00030451582,0.001024301,0.052900523,0.00038670414,0.0013880068,0.09678532,0.00043984008,0.0013766397,0.096517965,0.00020209164,0.0006251096,0.019994548,0.00036259528,0.0011771218,0.07095222,0.00022658927,0.0007465217,0.028349437,0.02281967474489796,1145,0.009184964,0.027867887,0.32307357,1,8591.0,8591.0,0.0,8591.0,990.8021279348028,0.0,0.10997139186101301,0.0,0.9623387277669645,0.0,0.7607367395731869,0.0,8591.0,0.9623387277669645,0.7607367395731869,0,0,0,0,0.042792667,0.10271715,0.0,0.0,0.71754926,0.71754926,0.0,0.0,0.0,0.0,0.19302441,0.24279189,0.0,2.824079,11.776385,1.9243891667043473,621.2805,0.11127455,0,0,0
data\CMMD\D1-0004\07-18-2011-NA-NA-14914\1.000000-NA-36301\1-1.dcm,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.010782047193856063,0.005201690051010041,0.00544084821427487,0.0051817602040713055,0.004264987244889459,0.004882812499990268,0.004364636479583138,0.004743303571419118,0.00492267219386774,0.0054607780612136066,0.006875797193863847,0.009028220663247313,0.015744579081601272,0.01883370535710532,0.007533482142842129,0.00530133928570372,0.005500637755091078,0.004065688775502101,0.0037268813775435928,0.003687021683666121,0.004105548469379573,0.0041254783163183085,0.0036471619897886494,0.003128985969381519,0.7760283801004942,0.07342155612230265,22.083286830357142,5.34071690150314,0.6088956501597674,1.6317842512681175,0.0012252774,0.0039423755,0.7799481,0.0012333427,0.003466177,0.6028874,0.00149111,0.004368944,0.9578396,0.0014211133,0.0038648744,0.74951327,0.0004958455,0.0017902083,0.16109693,0.00053473044,0.0016921548,0.14380988,0.0006694967,0.0021602553,0.23444708,0.00052524323,0.0016213664,0.13203698,0.00050259125,0.0017659117,0.15809,0.00029770285,0.00093441684,0.04425073,0.00064648356,0.0020432575,0.21109876,0.00028776398,0.00088379445,0.03962987,0.03826530612244898,1920,0.014292109,0.038568255,0.83580685,15,5052.0,336.8,1159.7315321515864,4673.0,102.02076713840592,212.98158677859945,0.6544618243809279,0.6696860878807703,0.7568863104072112,0.3830846865645095,0.9008822725844688,0.11331633829166755,4673.0,0.8270369363787207,0.7411578112609041,0,0,0,0,0.04557064,0.11003469,0.0,0.0,0.8669866,0.8669866,0.0,0.0,0.0,0.0,0.17637241,0.31703275,0.0,2.9012172,11.551292,2.248700270568933,711.7123,0.119097926,0,0,0
data\CMMD\D1-0004\07-18-2011-NA-NA-14914\1.000000-NA-36301\1-2.dcm,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01476801658160322,0.006238042091824303,0.006576849489782811,0.006636639030599018,0.005480707908152342,0.005859374999988322,0.00554049744896855,0.005719866071417171,0.006636639030599018,0.007633131377535808,0.008868781887737426,0.011240433673446985,0.018156090561188304,0.018435108418330605,0.008031728316310523,0.00605867346937568,0.00492267219386774,0.004823022959174061,0.004942602040806476,0.004663584183664175,0.004942602040806476,0.005420918367336135,0.005839445153049586,0.005121970663255098,0.7121731505087847,0.10526945153040244,21.679966517857142,5.881351901578877,0.5200301928580899,1.9470986445257448,0.0010959599,0.002925737,0.4295993,0.0011932529,0.00332466,0.5546563,0.0013355123,0.0041994494,0.88496846,0.0013870127,0.0043317806,0.9415478,0.00045652903,0.001287665,0.08348456,0.00050905254,0.0014741707,0.109176874,0.0006436833,0.001968789,0.19477735,0.0005755103,0.0017313944,0.15054613,0.00048703642,0.0013790044,0.09702568,0.00029099028,0.0008299395,0.03499805,0.00068352936,0.002075106,0.21766941,0.00030756608,0.0009213384,0.043028124,0.035455197704081634,1779,0.01369242,0.035135288,0.57457376,25,4457.0,178.28,681.5094141682856,3394.0,75.27879024078466,176.36871418533372,148.5095040907414,545.3180538611847,0.7163786321872808,0.4074910185820464,0.887511361472595,0.13582308549890826,3394.0,0.7363175235633028,0.6796155386463757,0,0,0,0,0.045421105,0.103204496,0.0,0.0,0.8182165,0.8182165,0.0,0.0,0.0,0.04719436,0.15682477,0.25777262,0.04719436,3.1912994,14.401819,2.743048850858548,637.94995,0.11275746,0,0,0
data\CMMD\D1-0006\07-18-2010-NA-NA-16802\1.000000-NA-64676\1-1.dcm,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00984534438773548,0.004703443877541647,0.005141900510193834,0.005201690051010041,0.00492267219386774,0.004344706632644402,0.004384566326521874,0.004384566326521874,0.00492267219386774,0.00554049744896855,0.006018813775498209,0.010522959183652498,0.01803651147955589,0.0186543367346567,0.007533482142842129,0.00554049744896855,0.004842952806112797,0.004185267857134516,0.003687021683666121,0.0033681441326463483,0.0036670918367273852,0.003886320153053479,0.003906249999992215,0.0029894770408103685,0.7824856505086446,0.06728316326517203,22.09209582270408,5.287699888729219,0.6181462203274849,1.6039377700438338,0.00093563326,0.0025596682,0.32908162,0.0011864305,0.0031745445,0.50578415,0.001871053,0.0074881096,2.8137915,0.0013491735,0.0035647333,0.63772655,0.00040938397,0.001128104,0.064858824,0.0004982972,0.0016528941,0.13754913,0.00077425176,0.0031846403,0.50988567,0.0005679697,0.0018611525,0.17426944,0.0005056147,0.0013265939,0.09389537,0.00033152802,0.000985402,0.050238557,0.0008061487,0.003017583,0.462486,0.00034116444,0.001009671,0.052668005,0.04398517219387755,2207,0.015366843,0.045277204,0.8989797,3,9771.0,3257.0,4572.872838818066,9724.0,214.75230867899734,282.29715895069256,0.8856706702177983,0.39707784084882947,0.7592634599262184,0.20254301100325786,0.9671636091389179,0.02327777248612553,9724.0,0.8550369506335771,0.9527728786988047,0,0,0,0,0.084702395,0.1722542,0.0,0.0,0.97590744,0.97590744,0.0,0.0,0.0,0.0,0.42853266,0.48460442,0.0,1.7300766,4.43853,2.2333861774081987,1848.7853,0.19195314,0,0,0
data\CMMD\D1-0006\07-18-2010-NA-NA-16802\1.000000-NA-64676\1-2.dcm,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01524633290813288,0.005719866071417171,0.005998883928559473,0.0068957270408025835,0.007015306122434998,0.005221619897948777,0.005939094387743265,0.005759725765294643,0.006337691326517981,0.007274394132638563,0.009287308673450878,0.011340082908140665,0.019013073979553943,0.01988998724485832,0.009307238520389614,0.007792570153045694,0.006317761479579245,0.0056800063775397005,0.005281409438764984,0.005002391581622683,0.005141900510193834,0.006596779336721546,0.005480707908152342,0.00416533801019578,0.7079878826516502,0.10030691964265723,21.581114477040817,5.92869894185436,0.5132567831874537,1.9905828724246022,0.0012899735,0.0031238704,0.4900793,0.0014349099,0.0036308358,0.6616228,0.001637441,0.004218337,0.89328384,0.001348139,0.0033071784,0.54896444,0.0006491662,0.0016787251,0.14270729,0.00064322155,0.0017896645,0.16131344,0.0006730286,0.0017018503,0.14662987,0.0005979416,0.0014808688,0.11064001,0.00071614585,0.0017300631,0.1574554,0.000397203,0.0010034852,0.052497678,0.0007714059,0.0019031756,0.18901406,0.00037334106,0.0008737255,0.04027748,0.053232621173469385,2671,0.016617479,0.035559516,0.40881202,4,11960.0,2990.0,5176.522529652508,11956.0,948.7016228714147,0.0,0.1669308033425605,0.0,0.4735089250525157,0.47498869061077165,0.9711616722160562,0.049949448927115794,11956.0,0.8940357002100627,0.8846466888642249,0,0,0,0,0.09658716,0.1654008,0.0,0.0,0.6938173,0.6938173,0.0,0.0,0.0,0.16442823,0.40383744,0.45413348,0.16442823,1.3782582,3.3112063,2.912749551207231,1840.782,0.19153722,0,0,0
